time,alpha_a_fr,alpha_b_fr,alpha_c_fr,alpha_a_fl,alpha_b_fl,alpha_c_fl
1741027513.0136676,0.4896214008331299,-0.26722320914268494,-0.26722320914268494,-0.5045630931854248,0.2522815465927124,0.2522815465927124
1741027513.024245,0.46606868505477905,-0.28410422801971436,-0.28410422801971436,-0.5001152753829956,0.2500576376914978,0.2500576376914978
1741027513.0344274,0.43950602412223816,-0.29905349016189575,-0.29905349016189575,-0.4923730194568634,0.2461865097284317,0.2461865097284317
1741027513.0441833,0.4114803671836853,-0.31163290143013,-0.31163290143013,-0.4820755124092102,0.2410377562046051,0.2410377562046051
1741027513.0542123,0.380287230014801,-0.322887659072876,-0.322887659072876,-0.46878325939178467,0.23439162969589233,0.23439162969589233
1741027513.064852,0.3437516987323761,-0.333372563123703,-0.333372563123703,-0.4514161944389343,0.22570809721946716,0.22570809721946716
1741027513.074452,0.3073442280292511,-0.341644823551178,-0.341644823551178,-0.4326593577861786,0.2163296788930893,0.2163296788930893
1741027513.084559,0.2672225832939148,-0.348834365606308,-0.348834365606308,-0.410704642534256,0.205352321267128,0.205352321267128
1741027513.095302,0.22128047049045563,-0.35513830184936523,-0.35513830184936523,-0.38427919149398804,0.19213959574699402,0.19213959574699402
1741027513.1061497,0.17227359116077423,-0.3600906729698181,-0.3600906729698181,-0.3549095094203949,0.17745475471019745,0.17745475471019745
1741027513.1171823,0.1205851212143898,-0.363760769367218,-0.363760769367218,-0.3228972554206848,0.1614486277103424,0.1614486277103424
1741027513.126712,0.07345937937498093,-0.3660010099411011,-0.3660010099411011,-0.2929735779762268,0.1464867889881134,0.1464867889881134
1741027513.136219,0.023472076281905174,-0.3674507141113281,-0.3674507141113281,-0.26061519980430603,0.13030759990215302,0.13030759990215302
1741027513.1459908,-0.02811274304986,-0.3681383430957794,-0.3681383430957794,-0.22668373584747314,0.11334186792373657,0.11334186792373657
1741027513.159116,-0.08083050698041916,-0.3681619167327881,-0.3681619167327881,-0.19155427813529968,0.09577713906764984,0.09577713906764984
1741027513.1665492,-0.13927499949932098,-0.36755993962287903,-0.36755993962287903,-0.1521899700164795,0.07609498500823975,0.07609498500823975
1741027513.1784656,-0.20806823670864105,-0.3662241995334625,-0.3662241995334625,-0.10543730854988098,0.05271865427494049,0.05271865427494049
1741027513.188529,-0.26532208919525146,-0.3647565543651581,-0.3647565543651581,-0.06628963351249695,0.033144816756248474,0.033144816756248474
1741027513.1983027,-0.32203540205955505,-0.36311277747154236,-0.36311277747154236,-0.027384929358959198,0.013692464679479599,0.013692464679479599
1741027513.2082481,-0.368446946144104,-0.3504175543785095,-0.3504175543785095,0.012019581161439419,-0.006009790580719709,-0.006009790580719709
1741027513.2192867,-0.39164894819259644,-0.30954939126968384,-0.30954939126968384,0.054733045399188995,-0.027366522699594498,-0.027366522699594498
1741027513.2298121,-0.41456693410873413,-0.26868242025375366,-0.26868242025375366,0.09725635498762131,-0.048628177493810654,-0.048628177493810654
1741027513.2398968,-0.4352620840072632,-0.23097649216651917,-0.23097649216651917,0.13619038462638855,-0.06809519231319427,-0.06809519231319427
1741027513.2498238,-0.45481202006340027,-0.19425630569458008,-0.19425630569458008,0.17370380461215973,-0.08685190230607986,-0.08685190230607986
1741027513.2602916,-0.474174827337265,-0.15631990134716034,-0.15631990134716034,0.21190327405929565,-0.10595163702964783,-0.10595163702964783
1741027513.2710855,-0.49256670475006104,-0.11813559383153915,-0.11813559383153915,0.2496207356452942,-0.1248103678226471,-0.1248103678226471
1741027513.2806084,-0.5077518224716187,-0.08422352373600006,-0.08422352373600006,0.2823522090911865,-0.14117610454559326,-0.14117610454559326
1741027513.290341,-0.5213083028793335,-0.05110866203904152,-0.05110866203904152,0.31346645951271057,-0.15673322975635529,-0.15673322975635529
1741027513.3001184,-0.5331383347511292,-0.018629318103194237,-0.018629318103194237,0.3430060148239136,-0.1715030074119568,-0.1715030074119568
